snapshot_date,snapshot_ts,scooter_id,scooter_state,city,country,latitude,longitude,last_ride_time,rides_today,total_rides,total_km,total_ride_minutes,avg_ride_duration_min,avg_ride_distance_km,is_writeoff_candidate
2026-01-01,2026-01-01 23:59:59,1,active,Tallinn,Estonia,59.478159,24.673211,2026-01-01 19:11:00,2,2,5.13,26,13.0,2.565,False
2026-01-02,2026-01-02 23:59:59,1,active,Tallinn,Estonia,59.473184,24.679995,2026-01-02 21:27:00,5,7,20.51,93,13.286,2.93,False
2026-01-03,2026-01-03 23:59:59,1,active,Tallinn,Estonia,59.476907,24.671006,2026-01-03 19:22:00,2,9,23.493,106,11.778,2.61,False
2026-01-04,2026-01-04 23:59:59,1,active,Tallinn,Estonia,59.475765,24.681359,2026-01-04 22:40:00,5,14,39.347,181,12.929,2.81,False
2026-01-05,2026-01-05 23:59:59,1,active,Tallinn,Estonia,59.479787,24.670398,2026-01-05 20:07:00,7,21,63.399,286,13.619,3.019,False
2026-01-06,2026-01-06 23:59:59,1,active,Tallinn,Estonia,59.471669,24.674377,2026-01-06 21:40:00,5,26,77.157,347,13.346,2.968,False
2026-01-07,2026-01-07 23:59:59,1,active,Tallinn,Estonia,59.47778,24.674817,2026-01-07 19:18:00,5,31,90.171,402,12.968,2.909,False
2026-01-08,2026-01-08 23:59:59,1,active,Tallinn,Estonia,59.480154,24.683609,2026-01-08 21:46:00,7,38,115.392,512,13.474,3.037,False
2026-01-09,2026-01-09 23:59:59,1,active,Tallinn,Estonia,59.476029,24.674591,2026-01-09 21:03:00,5,43,136.075,601,13.977,3.165,False
2026-01-10,2026-01-10 23:59:59,1,active,Tallinn,Estonia,59.477092,24.674786,2026-01-10 21:51:00,4,47,148.044,656,13.957,3.15,False
2026-01-11,2026-01-11 23:59:59,1,active,Tallinn,Estonia,59.477186,24.672378,2026-01-11 17:22:00,3,50,155.569,690,13.8,3.111,False
2026-01-12,2026-01-12 23:59:59,1,active,Tallinn,Estonia,59.48155,24.676375,2026-01-12 20:39:00,2,52,164.291,722,13.885,3.159,False
2026-01-13,2026-01-13 23:59:59,1,active,Tallinn,Estonia,59.478342,24.678432,2026-01-13 21:37:00,4,56,175.576,772,13.786,3.135,False
2026-01-14,2026-01-14 23:59:59,1,active,Tallinn,Estonia,59.47168,24.677445,2026-01-14 20:27:00,7,63,196.7,858,13.619,3.122,False
2026-01-15,2026-01-15 23:59:59,1,active,Tallinn,Estonia,59.479587,24.677567,2026-01-15 22:39:00,4,67,205.996,897,13.388,3.075,False
2026-01-16,2026-01-16 23:59:59,1,active,Tallinn,Estonia,59.481548,24.675899,2026-01-16 18:41:00,7,74,232.26,1012,13.676,3.139,False
2026-01-17,2026-01-17 23:59:59,1,active,Tallinn,Estonia,59.473624,24.671878,2026-01-17 21:21:00,7,81,248.093,1078,13.309,3.063,False
2026-01-18,2026-01-18 23:59:59,1,active,Tallinn,Estonia,59.475949,24.673636,2026-01-18 21:44:00,7,88,272.443,1182,13.432,3.096,False
2026-01-19,2026-01-19 23:59:59,1,active,Tallinn,Estonia,59.477513,24.672825,2026-01-19 19:55:00,6,94,289.76,1258,13.383,3.083,False
2026-01-20,2026-01-20 23:59:59,1,active,Tallinn,Estonia,59.478296,24.674793,2026-01-20 21:51:00,3,97,303.074,1313,13.536,3.124,False
2026-01-21,2026-01-21 23:59:59,1,active,Tallinn,Estonia,59.476861,24.678829,2026-01-21 20:07:00,3,100,312.448,1350,13.5,3.124,False
2026-01-22,2026-01-22 23:59:59,1,active,Tallinn,Estonia,59.478163,24.674675,2026-01-22 20:55:00,6,106,327.173,1413,13.33,3.087,False
2026-01-23,2026-01-23 23:59:59,1,active,Tallinn,Estonia,59.475516,24.674551,2026-01-23 17:27:00,6,112,345.671,1495,13.348,3.086,False
